movie_odid,display_name,territory,release_date,total_box_office,currency,local_box_office,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements
181330100,Penguins of Madagascar,Taiwan,2015-02-13,1793259,TWD,55931748,424699,66,68,265
181330100,Penguins of Madagascar,Turkey,2014-11-28,1925962,TRY,5757663,0,0,217,1692
181330100,Penguins of Madagascar,United Kingdom,2014-12-05,13527386,UKP,8752219,0,0,94,161
181330100,Penguins of Madagascar,Rest of World,,146414157,,0,0,0,0,0
180630100,Minions,Argentina,2015-07-02,36154412,ARS,333193801,5591777,170,174,1332
180630100,Minions,Australia,2015-06-18,24846457,AUD,35617396,4621659,487,487,3463
180630100,Minions,Austria,2015-07-03,6849077,EUR,6314164,986910,154,170,2258
180630100,Minions,Belgium,2015-07-08,8879718,EUR,8330063,1951697,149,149,1706
180630100,Minions,Bolivia,2015-07-09,1401642,BOB,9671330,0,0,38,107
180630100,Minions,Brazil,2015-06-25,37712080,BRL,141141231,7321076,1084,1084,5684
180630100,Minions,Bulgaria,2015-07-10,1275798,BGN,2290440,268491,0,59,339
180630100,Minions,Central America,2015-07-09,7647766,,0,0,0,11,17
180630100,Minions,Chile,2015-07-09,10575998,CLP,7295855393,2077547,58,64,588
180630100,Minions,China,2015-09-12,63470000,CNY,402717150,17630000,65714,65714,133026
180630100,Minions,Colombia,2015-07-02,10234700,COP,29465237668,3281096,180,180,1219
180630100,Minions,Croatia,2015-07-09,889119,HRK,6170842,284126,35,35,316
180630100,Minions,Czech Republic,2015-06-18,4442783,CZK,109703864,145425,69,145,1313
180630100,Minions,Denmark,2015-07-02,5378563,DKK,36332193,534883,90,92,1024
180630100,Minions,Ecuador,2015-07-10,3407260,USD,3407260,0,0,11,23
180630100,Minions,Estonia,2015-07-03,758735,EUR,682937,0,0,11,40
180630100,Minions,Finland,2015-07-03,4544668,EUR,4125650,574065,216,223,1746
180630100,Minions,France,2015-07-08,45481854,EUR,41788727,3565531,868,964,9886
180630100,Minions,Germany,2015-07-02,63467650,EUR,57933271,9810241,177,1111,10841
180630100,Minions,Greece,2015-09-24,2158511,EUR,1983240,715279,127,174,760
180630100,Minions,Hong Kong,2015-07-09,10887886,HKD,84381117,4672780,46,46,260
180630100,Minions,Hungary,2015-07-09,3406063,HUF,958793791,1022121,72,74,831
180630100,Minions,Iceland,2015-07-08,389486,ISK,49250505,0,0,5,9
180630100,Minions,India,2015-07-10,2711296,INR,172818007,939195,254,254,715
