movie_odid,display_name,billing,person_odid,person,role
140060100,Freakonomics,1,190970401,Chad Troutwine,Producer
140060100,Freakonomics,2,189130401,Dan O'Meara,Producer
140060100,Freakonomics,3,189140401,Chris Romano,Producer
140060100,Freakonomics,4,190980401,Michael Roban,Executive Producer
140060100,Freakonomics,5,190990401,Paul Fiore,Executive Producer
140060100,Freakonomics,6,191000401,Jay Rifkin,Executive Producer
140060100,Freakonomics,7,191010401,Damon Martin,Executive Producer
140060100,Freakonomics,8,56630401,Seth Gordon,Executive Producer
140060100,Freakonomics,9,191020401,Rafi Chaudry,Co-Producer
140060100,Freakonomics,10,191030401,Peter Cerbin,Co-Producer
140060100,Freakonomics,11,191040401,Hilary Carr,Co-Producer
140060100,Freakonomics,12,191050401,Stephen J. Dubner,Co-Executive Producer
140060100,Freakonomics,13,191060401,Steven D. Levitt,Co-Executive Producer
140060100,Freakonomics,14,191050401,Stephen J. Dubner,Story Creator
140060100,Freakonomics,15,191060401,Steven D. Levitt,Story Creator
140070100,The Warrior's Way,1,198550401,Sngmoo Lee,Screenwriter
140070100,The Warrior's Way,2,198550401,Sngmoo Lee,Director
140070100,The Warrior's Way,3,198560401,Barrie M. Osborne,Producer
140070100,The Warrior's Way,4,198570401,Jooick Lee,Producer
140070100,The Warrior's Way,5,113580401,Michael Peyser,Producer
140070100,The Warrior's Way,6,151610401,Tim White,Executive Producer
140080100,Stone,1,188060401,Holly Wiersma,Producer
140080100,Stone,2,188070401,Jordan Schur,Producer
140080100,Stone,3,188080401,David Mimran,Producer
140080100,Stone,4,185880401,Avi Lerner,Executive Producer
140080100,Stone,5,178770401,Danny Dimbort,Executive Producer
140080100,Stone,6,178780401,Trevor Short,Executive Producer
140080100,Stone,7,188090401,Rene Besson,Executive Producer
140080100,Stone,8,188100401,Ed Cathell III,Co-Producer
140080100,Stone,9,188110401,Will French,Co-Executive Producer
140080100,Stone,10,188120401,Stephen Roberts,Co-Executive Producer
140080100,Stone,11,188130401,John Curran,Director
140080100,Stone,12,188140401,Angus MacLachlan,Screenwriter
140090100,Frankenweenie,1,21830401,Tim Burton,Director
140090100,Frankenweenie,2,21830401,Tim Burton,Producer
140090100,Frankenweenie,3,332260401,Allison Abbate,Producer
140090100,Frankenweenie,4,7670401,John August,Screenwriter
140090100,Frankenweenie,5,415760401,Lenny Ripps,Story Creator
140090100,Frankenweenie,6,21830401,Tim Burton,Story Creator
140090100,Frankenweenie,7,204280401,Don Hahn,Executive Producer
140090100,Frankenweenie,8,415780401,Peter Sorg,Cinematographer
140090100,Frankenweenie,9,203690401,Rick Heinrichs,Production Designer
140090100,Frankenweenie,10,204170401,Chris Lebenzon,Editor
140090100,Frankenweenie,11,415790401,Mark Solomon,Editor
140090100,Frankenweenie,12,370740401,Trey Thomas,Animation Director
140090100,Frankenweenie,13,182350401,Danny Elfman,Composer
140090100,Frankenweenie,14,80010401,Ronna Kress,Casting Director
140090100,Frankenweenie,15,343530401,Derek Frey,Co-Producer
140090100,Frankenweenie,16,415800401,Connie Nartonis Thompson,Associate Producer
140090100,Frankenweenie,17,415810401,Simon Quinn,Line Producer
140090100,Frankenweenie,18,415820401,Joan Schneider,Unit Production Manager
140090100,Frankenweenie,19,415830401,Melissa Rogers,Production Manager
140090100,Frankenweenie,20,415850401,Kev Harwood,Assistant Director
140090100,Frankenweenie,21,136950401,Rob Stevenhagen,Head of Story
140090100,Frankenweenie,22,415860401,Mark Waring,Animation Supervisor
140090100,Frankenweenie,23,415870401,Tim Ledbury,Visual Effects Supervisor
