,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1958,s1959,Movie,Fast Color,,,,2019-12-11,2018,PG-13,102 min,"Drama, Horror, Science Fiction","Hunted by mysterious forces and a local sheriff, a young woman with supernatural abilities flees back to her family-and unearths the depths of the power within her."
1960,s1961,Movie,My Little Pony Crystal Princess: The Runaway Rainbow,,,,2019-12-10,2006,TV-Y,46 min,"Family, Kids",Rarity is about to learn how to make her first rainbow of the season.
1961,s1962,Movie,My Little Pony: A Very Minty Christmas,,,,2019-12-10,2005,TV-Y,44 min,"Action, Adventure, Family","Clumsy Minty Pony (Tabitha St. Germain) breaks the holiday candy cane that guides Santa Claus to Ponyville every year; includes bonus episode ""Dancing in the Clouds."""
1962,s1963,Movie,My Little Pony: The Princess Promenade,,,,2019-12-10,2006,TV-Y,51 min,"Action, Adventure, Family","The ponies' annual Spring Promenade goes awry when a 1,000-year-old dragon awakens and fulfills a royal prophecy."
1963,s1964,Movie,My Little Pony: Twinkle Wish Adventure,,,,2019-12-10,2009,TV-Y,44 min,"Action, Adventure, Family","All the ponies cannot wait for the Winter Wishes festival where the Wishing Star grants each pony one special wish. But when the Wishing Star disappears, they go on a journey to find it. But will they make it back in time for the festival?"
1965,s1966,Movie,A Nasty Piece of Work,,,,2019-12-06,2019,,78 min,"Horror, Thriller","A mid-level corporate employee finds out heâ€™s not getting the Christmas bonus he was expecting, but his boss invites him to earn a promotion by beating his professional rival in a violent competition."
1966,s1967,Movie,Eddie Griffin: E-Niggma,,,,2019-12-06,2019,TV-MA,,"Comedy, News, Stand Up",Griffin's fiery storytelling canvasses his 30-plus year comedy career.
1968,s1969,Movie,How to Train Your Dragon: Homecoming,,,United States,2019-12-05,2019,TV-PG,,"Adventure, Family, Kids","This holiday season, reunite with Hiccup, Astrid, Toothless, Light Fury and all your friends on the Isle of New Berk in ""How to Train Your Dragon: Homecoming,"" a brand new adventure based upon the critically acclaimed How to Train Your Dragon film trilogy from DreamWorks Animation."
1969,s1970,Movie,How to Train Your Dragon: Snoggletog Log,,,United States,2019-12-05,2019,28 min,,"Family, Kids",Come settle by the warmth of a roaring fire in Hiccup & Astrid's home. You never know who is going to stop by for a sip of Yak Nog!
1970,s1971,Movie,Killers Anonymous,,,United Kingdom,2019-12-05,2019,R,96 min,"Action, Crime, Mystery","Tensions mount at KILLERS ANONYMOUS, a support group for killers, as the members of the group try to unravel a mystery: Which one of them is responsible for the assassination attempt on a U.S. senator that has the police in the city on high alert?"
1973,s1974,Movie,This One's for the Ladies,,,United States,2019-12-02,2018,R,83 min,"Black Stories, Documentaries","Every Thursday night, hundreds of women gather for a potluck celebration and the chance to throw singles at the hottest dancers in New Jersey. This One's for the Ladies isn't just about dancing, it's a heartwarming story of friendship and community."
1977,s1978,Movie,Mike Wallace Is Here,,,United States,2019-11-28,2019,PG-13,91 min,Documentaries,"An unflinching look at the legendary reporter, who interrogated the 20th centuryâ€™s biggest figures in his over fifty years on air, and his aggressive reporting style and showmanship that redefined what America came to expect from broadcasters."
1978,s1979,Movie,Astronaut,,,Canada,2019-11-26,2019,PG,97 min,Drama,"One old man, one last dream - one golden ticket to the stars."
1979,s1980,Movie,Love & Mercy,,,,2019-11-25,2015,PG-13,122 min,"Drama, Music",John Cusack and Paul Dano star as Beach Boys genius Brian Wilson in this film that intimately examines the unique journey and ultimate salvation of the musical icon.
1980,s1981,Movie,Ice Age: A Mammoth Christmas,,,,2019-11-24,2011,TV-PG,,"Action, Adventure, Comedy","When Sid accidentally ruins Mannyâ€™s Christmas traditions, heâ€™s told that he will be on Santaâ€™s naughty list. To plead his case directly to Santa Claus himself, Sid heads to the North Pole."
1983,s1984,Movie,Vita & Virginia,,,,2019-11-22,2019,,110 min,"Drama, LGBTQ+, Romance","The seductive true story of Virginia Woolf's love affair with socialite Vita Sackville-West, who inspired one of Woolf's greatest works of literature."
1984,s1985,Movie,The Quiet One,,,United Kingdom,2019-11-19,2019,98 min,,"Documentaries, Music","He was the bassist for The Rolling Stones and known as the ""quiet one."" Now, Bill Wyman speaks out about life in the worldâ€™s greatest rock band through a tour of his personal archive."
1985,s1986,Movie,Booksmart,,,United States,2019-11-18,2019,R,102 min,"Comedy, LGBTQ+",Booksmart is a comedy about two academic superstars and best friends on a mission to cram four years of fun into one night.
1986,s1987,Movie,The Tomorrow Man,,,United States,2019-11-18,2019,PG-13,95 min,"Drama, Romance","Ed Hemsler spends his life preparing for a disaster that may never come. Ronnie Meisner spends her life shopping for things she may never use. In a small town somewhere in America, these two people will try to find love while trying not to get lost in each other's stuff."
1987,s1988,Movie,UFC Sound Waves,,,,2019-11-18,2017,TV-14,,"Documentaries, Sports",Featuring behind-the-scenes audio to give fans a chance to listen to the sport like never before.
1988,s1989,Movie,Fantastica: A Boonie Bears Adventure,,,,2019-11-17,2017,G,84 min,"Adventure, Comedy, Family","In the cartoon multiverse known as Fantastica, the intrepid robot Coco discovers the location of an ancient artifact. But with a group of thieves hot on Cocoâ€™s trail, Coco will have to rely on a group of friends to help protect Fantastica."
1996,s1997,Movie,The Biggest Little Farm,,,United States,2019-11-06,2018,PG,92 min,"Documentaries, Family",The Biggest Little Farm follows two dreamers and their beloved dog when they make a choice that takes them from their tiny L.A. apartment and into the countryside to build one of the most diverse farms of its kind in complete coexistence with nature.
1998,s1999,Movie,Framing John DeLorean,,,United States,2019-11-05,2019,109 min,,Documentaries,"Money, power, politics, drugs, scandal, and fast cars. Discover the untold story of the controversial automaker's meteoric rise and shocking fall. Featuring Alec Baldwin."
2000,s2001,Movie,Denial,,,"United Kingdom, United States",2019-11-04,2016,PG-13,110 min,Drama,A historian must battle for historical truth when she is sued for libel.
2005,s2006,Movie,Celeste Barber: Challenge Accepted,,,,2019-11-01,2019,TV-MA,,"Comedy, News, Stand Up",Celeste Barber explains the story behind some of her most famous parodies.
2009,s2010,Movie,Pilgrim,,,,2019-11-01,2019,TV-MA,80 min,Horror,"A woman invites Pilgrim re-enactors to stay with her family over Thanksgiving, but things turn deadly when the ""actors"" refuse to break character."
2010,s2011,Movie,Sinbad: Legend of the Seven Seas,,,"United States, United Kingdom, France",2019-11-01,2003,PG,85 min,"Action, Adventure, Cartoons",Sinbad the sailor must retrieve the stolen Book of Peace from a goddess with a penchant for chaos in this mythological animated tale.
2011,s2012,Movie,The Nightingale,"Director Jennifer Kent (""The Babadook"") tells the sweeping tale of a young woman's quest for revenge set in 1825 against the perilous and unforgiving terrain of Tasmania.",,Australia,2019-11-01,2018,R,136 min,"Action, Adventure, Drama","Director Jennifer Kent (""The Babadook"") tells the sweeping tale of a young woman's quest for revenge set in 1825 against the perilous and unforgiving terrain of Tasmania."
2013,s2014,Movie,In Search of Greatness,,,United States,2019-10-30,2018,PG-13,77 min,"Documentaries, Sports",IN SEARCH OF GREATNESS is a groundbreaking documentary that reveals the true nature and nurture of the greatest athletes of all time
2014,s2015,Movie,Meeting Gorbachev,,,"United Kingdom, Germany, United States",2019-10-30,2018,TV-PG,91 min,Documentaries,Werner Herzog meeting Mikhail Gorbachev opens a fresh door to some of the most significant happenings of the late 20th Century from nuclear disarmament to the reunification of Germany and the end of the Cold War.
2018,s2019,Movie,ZOMBOAT!,,,United Kingdom,2019-10-25,2019,1 Season,,"Comedy, Drama, International","Sisters Kat and Jo realise there's a zombie apocalypse in Birmingham, but gamer Kat has a plan: zombies can't swim - water is the safest option, and narrowboats move just marginally faster than zombies. Jo is unconvinced, until Jude, the guy she just slept with, turns into a zombie. Meanwhile, Amar and Sunny have been in Birmingham for a stag. When all trains back to London are cancelled and they're attacked by a train guard zombie, they flee."
2025,s2026,Movie,Wounds,,,"United States, United Kingdom",2019-10-18,2019,R,95 min,"Horror, Thriller",Disturbing and mysterious things begin happening to a New Orleans bartender (Armie Hammer) after he picks up a phone left behind in his bar. Also starring Dakota Johnson and Zazie Beetz.
2026,s2027,Movie,Toni Morrison: The Pieces I Am,,,United States,2019-10-17,2019,PG-13,120 min,"Black Stories, Documentaries","This artful and intimate meditation on legendary storyteller Toni Morrison examines her life, her work and the powerful themes she has confronted throughout her literary career."
2029,s2030,Movie,Little Woods,,,,2019-10-14,2019,R,103 min,"Black Stories, Drama","Ollie (Tessa Thompson) is at the end of her probation after running prescription pills. But when her mother dies, she is thrust back into the life of her sister Deb (Lily James), who is contending with an unplanned pregnancy and a deadbeat ex."
2031,s2032,Movie,Little Monsters,,,"Australia, United States, United Kingdom",2019-10-11,2019,R,94 min,"Black Stories, Comedy, Horror","A film dedicated to all the kindergarten teachers who motivate children to learn, instill them with confidence and stop them from being devoured by zombies."
2032,s2033,Movie,Madonna and the Breakfast Club,,,United States,2019-10-11,2019,105 min,,"Documentaries, Drama","The incredible untold story of pop icon Madonnaâ€™s struggling pre-fame years in New York City with her musician boyfriend, Dan Gilroy, and their first band Breakfast Club."
2033,s2034,Movie,Savage Youth,,,United States,2019-10-11,2018,99 min,,"Crime, Drama",The lives of six troubled teens in a racially-divided town take a violent turn when drugs and broken hearts intermix. Based on true events.
2034,s2035,Movie,Scotch: A Golden Dream,,,,2019-10-11,2018,,89 min,Documentaries,"For more than a century, Scotch whisky has been the premier international spirit of choice. With a backdrop of stunning Scottish landscapes, explore the artistic and scientific building blocks of making whisky; the stuff dreams are made of."
2035,s2036,Movie,Trespassers,,,United States,2019-10-11,2018,87 min,,"Horror, Thriller",Two couples rent a gorgeous house in the desert for a sex- and drug-fueled escape from reality â€“ a doomed vacation that quickly escalates into a bloody fight to survive.
2036,s2037,Movie,Cannabis Evolution,,,United States,2019-10-08,2019,64 min,,Documentaries,"Science has confirmed marijuana has the potential to treat physical and mental conditions, from cancer to PTSD. But the war on drugs has stifled millions in need of help - time to dispel the lies and address the facts."
2037,s2038,Movie,Missing Link,,,"Canada, United States",2019-10-07,2019,PG,94 min,"Action, Adventure, Comedy","""Missing Link"" is a globe-trotting comedy-adventure about a dashing investigator of myths and monsters (Hugh Jackman) and the surprisingly silly and soulful beast he discovers (Zach Galifianakis)."
2044,s2045,Movie,Uncanny Annie,,,,2019-10-04,2019,TV-MA,80 min,Horror,"On Halloween night a group of college students get trapped in a mysterious board game that brings their darkest secrets and fears to life, where they must play to escapeâ€¦and win to survive."
2046,s2047,Movie,Amazing Grace,,,United States,2019-10-02,2018,G,89 min,"Black Stories, Documentaries, Music","A documentary presenting the live recording of Aretha Franklin's album Amazing Grace at The New Temple Missionary Baptist Church in Watts, Los Angeles in January 1972."
2047,s2048,Movie,Flagged,,,United States,2019-10-02,2019,7 min,,Horror,"When a young woman takes a new position as a moderator for a major social media platform, she quickly realizes the job description may have left out some deadly details."
2048,s2049,Movie,Hidden Mother,,,United States,2019-10-02,2019,5 min,,Horror,A recently-widowed mother is gifted an antique photo that happens to harbor the presence of a sinister spirit within its frame.
2049,s2050,Movie,Ride,,,United States,2019-10-02,2019,7 min,,Horror,"Spin classes can be a bit intimidating. But for Brit, the fear is real when her first class turns into a ride for her life."
2050,s2051,Movie,Swiped to Death,,,United States,2019-10-02,2019,7 min,,Horror,"Dating can be hell. When Olivia â€œswipes rightâ€ on a handsome stranger, her world collides with some serious hidden danger."
2051,s2052,Movie,The Dunes,,,,2019-10-02,2019,,6 min,Horror,A young coupleâ€™s romantic beach date turns dark when they encounter a mysterious seaside stranger. Could the last day of summer be their last day ever?
2052,s2053,Movie,The Ripper,,,United States,2019-10-02,2019,6 min,,"Comedy, Horror","When the rhythm guitarist of a band is pushed to attempt a solo, he instead starts to reveal some haunting hidden talents."
2053,s2054,Movie,Undo,,,United States,2019-10-02,2019,7 min,,Horror,A physicist celebrates a breakthrough in reversing the flow of time...until a haunting figure pays him a visit.
2056,s2057,Movie,Hillbilly,,,,2019-10-01,2019,,85 min,Documentaries,"Hillbilly seeks to expand understanding of Appalachia, tracing the evolution of the `hillbilly' stereotype in media and culture by connecting it to corporate exploitation of the region's natural resources."
2057,s2058,Movie,Hunt for the Skinwalker,,,United States,2019-10-01,2018,127 min,,Documentaries,Hundreds of reports of phenomena at Skinwalker Ranch have made it one of the most famous paranormal hotspots in the world. Previously unreleased footage and interviews from the scientific study piece together what could be happening there.
2060,s2061,Movie,The Amityville Murders,,,,2019-10-01,2018,TV-MA,98 min,"Horror, Thriller","Based on a true story, one fateful night in 1974, Ronald DeFeo, Jr. takes a high-powered rifle and murders his entire family as they sleep, claiming he was instructed by the voices in his head."
2064,s2065,Movie,Teen Spirit,,,"United Kingdom, United States",2019-09-30,2018,PG-13,93 min,"Drama, Family, Music","Violet (Elle Fanning) is a shy teenager who dreams of escaping her small town and pursuing her passion to sing. With the help of an unlikely mentor, she enters a local singing competition that will test her integrity, talent and ambition."
2073,s2074,Movie,Aniara,,,"Sweden, Denmark, United States",2019-09-19,2018,R,106 min,"Drama, Science Fiction","A spaceship carrying settlers to Mars is knocked off course, causing the consumption-obsessed passengers to consider their place in the universe."
2074,s2075,Movie,Crypto,,,United States,2019-09-19,2019,R,106 min,"Drama, Horror, Thriller","In this cyber-thriller starring Kurt Russell and Beau Knapp, a Wall Street banker connects a small-town art gallery to a global conspiracy, putting his own family in grave danger."
2075,s2076,Movie,Culture Shock: A Conversation With Director Gigi Saul Guerrero,"Director Gigi Saul Guerrero talks through Culture Shockâ€™s themes â€“ immigration, filmmaking, and latinidad â€“ in this one-on-one chat.",,,2019-09-18,2019,TV-14,2 min,Documentaries,"Director Gigi Saul Guerrero talks through Culture Shockâ€™s themes â€“ immigration, filmmaking, and latinidad â€“ in this one-on-one chat."
2077,s2078,Movie,NFL's Greatest Games,,,,2019-09-15,1997,TV-G,,Sports,Recounting the NFL's most memorable games.
2081,s2082,Movie,Nitro Circus: The Movie,,,,2019-09-13,2012,PG-13,92 min,"Comedy, Documentaries","Travis Pastrana and his tight-knit, highly-skilled, adrenaline-addicted friends bring their impossible, ridiculous, insane and hysterical adventures to the big screen for the first time."
2084,s2085,Movie,Curious George: Royal Monkey,,,United States,2019-09-10,2019,G,87 min,"Action, Adventure, Comedy","Join your favorite monkey as he takes on his most regal role yet, trading places with a royal monkey!"
2085,s2086,Movie,Backstory,,,,2019-09-09,2019,,,"Documentaries, Sports",Investigative reporter Don Van Natta Jr. goes beyond what viewers think they know about unresolved sports stories of the past and present.
2086,s2087,Movie,Hotel Mumbai,,,"Australia, United States, United Kingdom, India, Singapore",2019-09-09,2018,R,123 min,"Action, Thriller","A gripping true story that recounts the siege of the Taj Hotel by terrorists in Mumbai. Refusing to leave their guests, hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families."
2087,s2088,Movie,Pure,,,,2019-09-06,2019,TV-MA,89 min,Horror,"Several teen girls perform a secret ritual at a Purity Retreat and, when one of them begins to see a supernatural entity, the terrifying question becomes what is more dangerous; the demon theyâ€™ve unleashed, or the pressure of their controlling fathers."
2088,s2089,Movie,We Die Young,,,"Bulgaria, United States",2019-09-04,2019,R,93 min,"Action, Adventure, Drama","Lucas, a 14-year-old boy inducted into the gang life in Washington D.C., is determined that his 10-year-old brother won't follow the same path. When an Afghanistan war veteran comes into the neighborhood, an opportunity arises."
2089,s2090,Movie,Matriarch,,,United Kingdom,2019-09-03,2018,R,92 min,"Horror, Thriller",An expecting Mother and husband crash their car in the countryside and are offered shelter by a farmer and his wife.
2090,s2091,Movie,The Many Lives of Nick Buoniconti,,,,2019-09-03,2019,TV-14,,"Documentaries, Sports","NFL Hall of Famer Nick Buoniconti's life story encompasses turns as a linebacker, lawyer, sports agent, broadcaster, executive and philanthropist."
2092,s2093,Movie,Untouchable,,,United Kingdom,2019-09-02,2019,TV-MA,99 min,Documentaries,"The inside story of the rise and fall of Harvey Weinstein reveals how, over decades, he acquires and protects his power even as scandal threatens to engulf him."
2094,s2095,Movie,Playing It Cool,,,,2019-09-01,2015,R,95 min,"Comedy, Drama, Romance",A young man meets and instantly falls in love with an engaged woman.
2096,s2097,Movie,Worth It,,,United States,2019-08-30,2016,6 Seasons,,"Cooking & Food, Lifestyle & Culture, Reality","Food lovers Steven Lim and Andrew, along with their cameraman Adam, embark on the ultimate food adventure in BuzzFeedâ€™s hit series, Worth It, trying delicious foods at three price points: affordable, middle tier, and luxury. At the end of the episode, the gang decides which item is the most â€œworth itâ€ at its given price."
2097,s2098,Movie,Body at Brighton Rock,,,United States,2019-08-29,2019,R,87 min,"Horror, Thriller","An inexperienced park ranger discovers a body on a remote mountain trail and must guard it overnight until the police can arrive. Deep in the wilderness, all alone, she will face her darkest fears."
2102,s2103,Movie,Farruko: En Letra de Otro,,,,2019-08-24,2019,TV-14,,"Documentaries, Latino, Music",Famed Puerto Rican reggaeton singer Farruko puts his own spin on classic hits in this HBO Latino concert special.
2104,s2105,Movie,Mapplethorpe,,,United States,2019-08-24,2018,102 min,,"Drama, LGBTQ+",A portrait of the celebrated yet controversial photographer Robert Mapplethorpe whose relationship with Patti Smith and other icons of the '70s New York influenced his photographs.
2105,s2106,Movie,Jawline,,,United States,2019-08-23,2019,TV-MA,97 min,Documentaries,"This film follows 16-year-old Austyn Tester, a rising star in the live-broadcast ecosystem who built his following on wide-eyed optimism and teen girl lust, as he tries to escape a dead-end life in rural Tennessee."
2106,s2107,Movie,Hail Satan?,,,United States,2019-08-22,2019,R,95 min,Documentaries,"Hail Satan? offers a look at a group of misunderstood outsiders whose commitment to social and political justice has empowered thousands of people. An inspiring and entertaining documentary from acclaimed director Penny Lane (Nuts!, Our Nixon)."
2108,s2109,Movie,Forecast Shark Attack,,,,2019-08-16,2019,TV-PG,,"Documentaries, News, Science & Technology",Join marine biologist Greg Skomal and meteorologist Joe Merchant as they test Joeâ€™s theory of how shark attacks can be as predictable as the weather.
2109,s2110,Movie,The Amazing Johnathan Documentary,,,United States,2019-08-16,2019,TV-MA,91 min,Documentaries,What begins as a seemingly ordinary profile of a dying magician becomes an unexpected and increasingly bizarre journey as filmmaker Ben Berman struggles to separate truth from illusion.
2110,s2111,Movie,Dogman,,,"Italy, France",2019-08-15,2018,103 min,,"Crime, Drama, Thriller","Marcello is coerced into the petty criminal schemes of the local bully. When Simoncinoâ€™s abuse finally brings Marcello to a breaking point, he decides to stand up for his own dignity through an act of vengeance, with unintended consequences."
2112,s2113,Movie,Andy Irons: Kissed by God,,,United States,2019-08-13,2018,TV-14,100 min,Documentaries,Three-time world champion surfer Andy Irons quietly battled bipolar disorder and opioid addiction throughout his life - demons that millions of others combat daily. His previously untold story tears down myths associated with the diseases.
2115,s2116,Movie,Cannibal Sharks,,,,2019-08-12,2019,TV-14,,"Documentaries, History, News","From mysterious severed heads in Australia, to the Sand Tiger pups that attack each other in the womb, prepare for a fascinating journey in to the world of Cannibal Sharks."
2116,s2117,Movie,AWOL,,,,2019-08-11,2017,,82 min,"Drama, LGBTQ+, Romance",Joey joins the Army as a way out of Pennsylvania coal country just as she falls in love with magnetic housewife Rayna. A splendid meditation on the boundless possibilities of first love constricted by the trials of poverty.
2117,s2118,Movie,The Beach Bum,,,"Switzerland, United Kingdom, France, United States",2019-08-09,2019,R,95 min,Comedy,"Moondog is a fun-loving, pot-smoking, beer-drinking writer who lives life on his own terms in Florida. If he can put down the drugs for just one minute, he may finally be able to put his talent to good use and finish the next great American novel."
2123,s2124,Movie,Plus One,,,United States,2019-08-06,2019,99 min,,"Comedy, Romance",Long-time friends Alice and Ben agree to be one anotherâ€™s plus ones as they power through an endless parade of insufferable weddings.
2124,s2125,Movie,The Armstrong Tapes,,,,2019-08-06,2019,TV-PG,,"Documentaries, News, Science & Technology","This documentary provides an in-depth look at Neil Armstrong, the first man on the moon."
2129,s2130,Movie,Non-Fiction,,,,2019-08-02,2019,R,107 min,"Comedy, Drama, International","Juliette Binoche and Guillame Canet star in this witty, seductive tale of sex, lies, and literature from acclaimed director Olivier Assayas (Personal Shopper, Carlos)."
2130,s2131,Movie,School Spirit,,,,2019-08-02,2019,TV-MA,84 min,"Horror, Thriller",A group of social outcasts stuck in weekend detention is confronted by the school's legendary hauntings.
2132,s2133,Movie,The Hunchback of Notre Dame,,,,2019-08-01,1923,,101 min,Drama,"In fifteenth century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with the gypsy queen."
2133,s2134,Movie,Along with the Gods: The Last 49 Days,,,South Korea,2019-07-31,2018,142 min,,"Action, Adventure, Science Fiction","As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier."
2135,s2136,Movie,After Darkness,,,,2019-07-29,2018,R,95 min,"Drama, Science Fiction","Natalia Dyer (""Stranger Things"") and Kyra Sedgwick (""The Closer"") highlight this apocalyptic sci-fi thriller about a family's fight to survive a solar disaster."
2136,s2137,Movie,I Trapped the Devil,,,United States,2019-07-26,2019,84 min,,"Drama, Horror","After trapping what he believes to be the devil, a man caught in a spiral of paranoia, trauma and evil unravels when his estranged family shows up for Christmas."
2138,s2139,Movie,The Field Guide to Evil,,,"Greece, New Zealand",2019-07-26,2018,R,118 min,"Drama, Horror","This global anthology of eight narratives explores dark folklore through a series of myths and tales that have captivated, galvanized and frightened communities throughout history."
2140,s2141,Movie,Time Freak,,,United States,2019-07-22,2018,PG-13,105 min,"Comedy, Drama, Romance","Physics prodigy Stillman (Asa Butterfield) is destined for great things, only to be derailed when his girlfriend, Debbie (Sophie Turner) suddenly dumps him."
2141,s2142,Movie,Apollo 11,,,United States,2019-07-20,2019,G,93 min,Documentaries,"Crafted from a newly-discovered trove of 70mm footage, and more than 11,000 hours of uncatalogued audio recordings, Apollo 11 goes straight to the heart of NASA's most celebrated mission."
2142,s2143,Movie,ISS Expedition,,,,2019-07-20,2015,,,"Documentaries, Science & Technology","International Space Station Expedition 60-61/Soyuz MS-13 Launch Coverage, which includes video B-roll of the crewâ€™s launch day pre-launch activities at 11:45 a.m. EDT. Launch is scheduled at 12:28 p.m. EDT â€“ Johnson Space Center via Baikonur, Kazakhstan"
2143,s2144,Movie,Clair de Lune 4K Version - Moon Images from NASA's Lunar Reconnaissance Orbiter,,,,2019-07-19,2018,TV-G,,Documentaries,"This visualization uses a digital 3D model of the Moon built from global elevation maps and image mosaics by NASA's Lunar Reconnaissance Orbiter mission. It was created to accompany a performance of Claude Debussy's Clair de Lune by the National Symphony Orchestra Pops, led by conductor Emil de Cou, at the Kennedy Center for the Performing Arts in Washington, DC, on June 1 and 2, 2018, as part of a celebration of NASA's 60th anniversary."
2144,s2145,Movie,Earth Views,,,,2019-07-19,2019,TV-G,,"Documentaries, Science & Technology",Earth views from the International Space Station
2146,s2147,Movie,NASA's Giant Leaps: Past and Future - Celebrating Apollo 50th as we Go Forward to the Moon,,,,2019-07-19,2019,,,"Documentaries, Science & Technology",NASA's Giant Leaps: Past and Future - Celebrating Apollo 50th as we Go Forward to the Moon
2149,s2150,Movie,Space Station Fisheye Fly-Through,,,,2019-07-19,2016,TV-G,,Documentaries,"Join us for a fly-through of the International Space Station. Produced by Harmonic exclusively for NASA TV UHD, the footage was shot in Ultra High Definition (4K) using a fisheye lens for extreme focus and depth of field."
2150,s2151,Movie,SpaceX Crew Dragonâ€™s First Launch on Demo-1 Mission,,,,2019-07-19,2019,TV-G,,"Documentaries, Lifestyle & Culture, Science & Technology","NASA and SpaceX teamed up to bring comprehensive coverage on launch day events, preparation and the mission expectations for the uncrewed first launch of SpaceXâ€™s Crew Dragon on a flight test to the International Space Station."
2151,s2152,Movie,SpaceX TESS Live Launch Coverage,,,,2019-07-19,2018,TV-G,,"Documentaries, Lifestyle & Culture, Science & Technology","NASAâ€™s Transiting Exoplanet Survey Satellite (TESS) was launched April 18 on a SpaceX Falcon 9 rocket, from Cape Canaveral Air Force Station in Florida. TESS is NASAâ€™s next mission to search for planets outside of our solar system, known as exoplanets, including those that could support life."
2152,s2153,Movie,Stunning Aurora Borealis from Space,,,,2019-07-19,2016,TV-G,,Documentaries,"Harmonic produced this show exclusively for NASA TV UHD, using time-lapses shot from the International Space Station, showing both the Aurora Borealis and Aurora Australis phenomena that occur when electrically charged electrons and protons in the Earth's magnetic field collide with neutral atoms in the upper atmosphere."
2155,s2156,Movie,Somm,,,,2019-07-18,2013,,94 min,Documentaries,"The story of four sommeliers attempting to pass the prestigious Master Sommelier exam, a test with one of the lowest pass rates in the world."
2156,s2157,Movie,Somm 3,,,United States,2019-07-18,2018,79 min,,Documentaries,"Three of the greatest legends in wine meet to drink the rarest bottles of their careers, while the best blind tasters of today gather to settle an age-old argument.Â The results could change the world of wine forever."
2157,s2158,Movie,Somm: Into The Bottle,,,United States,2019-07-18,2015,90 min,,Documentaries,The seldom seen world that surrounds the wine we drink. How is it grown? What goes on in the cellar? This is a never before seen look into the world of wine.
2165,s2166,Movie,Culture Shock,,,United States,2019-07-04,2019,TV-MA,91 min,"Horror, Thriller","This thriller follows a young Mexican woman in pursuit of the American Dream, who crosses illegally into the United States, only to find herself in an American nightmare."
2166,s2167,Movie,The Brink,,,United States,2019-07-04,2019,91 min,,Documentaries,"The Brink follows Steve Bannon leading up to the 2018 mid-term elections in the United States. A keen manipulator of the press Bannon continues to draw headlines and protests wherever he goes, feeding the powerful myth on which his survival relies."
2168,s2169,Movie,The Last Word,,,United States,2019-07-02,2017,R,108 min,"Comedy, Drama","Harriet is a retired businesswoman who tries to control everything around her. When she decides to write her own obituary, a young journalist takes up the task of finding out the truth, resulting in a life-altering friendship."
2171,s2172,Movie,The Man Who Killed Hitler and Then the Bigfoot,,,United States,2019-06-30,2018,98 min,,"Action, Adventure, Drama",An American war hero who secretly assassinated Adolf Hitler has now been called upon to take out another global threat â€“ Bigfoot.
2172,s2173,Movie,The Sweet Life,,,United States,2019-06-30,2016,90 min,,"Comedy, Drama, Romance",The classic story of â€œBoy Meets Girlâ€ â€¦ until Girl convinces Boy to drive to San Francisco with her â€¦ so they can throw themselves off the Golden Gate Bridge. Only they fall in love along the way.
2174,s2175,Movie,Diane,,,United States,2019-06-28,2018,96 min,,Drama,Mary Kay Place is extraordinary as a woman coming to terms with her troubled past in this beautiful story of redemption.
2175,s2176,Movie,Lords of Chaos,,,"United Kingdom, Sweden, Norway",2019-06-28,2018,R,118 min,"Drama, Horror, Music",A teenager's quest to launch Norwegian Black Metal in Oslo in the early 1990s results in a very violent outcome.
2177,s2178,Movie,Out of Blue,,,"United Kingdom, United States",2019-06-21,2018,110 min,,"Crime, Drama, Horror",Patricia Clarkson is a New Orleans detective whose hunt for a killer draws her into a mystery of cosmic proportions in this tantalizing noir thriller.
2181,s2182,Movie,Das Boot,,,"Germany, Czech Republic",2019-06-17,2018,1 Season,,"Drama, International","During the Autumn of 1942, in occupied France, U-612 is now ready for its maiden voyage, preparing to head into the increasingly brutal warfare with its young crewmen, including the new captain, Klaus Hoffmann. As the 40 young men take on their first mission, they struggle with the cramped and claustrophobic conditions of life underwater. Their personalities are pushed to the limit as tensions rise and loyalties begin to shatter. Meanwhile, at the port of La Rochelle, the world of Simone Strasser spirals out of control as she is engulfed in a dangerous liaison and forbidden love, torn between her loyalty for Germany and the Resistance. In the process, she begins to question her entire belief process. Could everything she thought to be true, in fact, be a lie?
A story of choices and survival, â€œDAS BOOTâ€ explores the emotional torment of life during World War Two, and the brutal reality of living within a senseless war."
2184,s2185,Movie,They Come Knocking,,,,2019-06-07,2019,TV-MA,85 min,"Horror, Science Fiction","After losing his wife to cancer, a father takes his two daughters on a road trip where he finds his family in the crosshairs of terrifying supernatural entities."
2187,s2188,Movie,Vox Lux,,,United States,2019-06-03,2018,R,114 min,"Drama, Music",An unusual set of circumstances brings unexpected success to a pop star (Natalie Portman).
